nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak,jenis_encoded,Prioritas,Prioritas_encoded,Prioritas_Prediksi,Prioritas_Prediksi_encoded
KTRK-100034,PT Solusi Digital Tbk,Pembelian,484,2023-01-18 0:00:00,2024-05-16 0:00:00,154028337,1,Rendah,0,Rendah,0
KTRK-100035,PT Indoinovasi Systems,Pembelian,615,2024-05-30 0:00:00,2026-02-04 0:00:00,374689352,1,Rendah,0,Rendah,0
KTRK-100036,PT Aksara Teknologi Group,Maintenance,497,2023-09-23 0:00:00,2025-02-01 0:00:00,280361025,0,Sedang,1,Sedang,1
KTRK-100037,PT Sibernetika Systems,Maintenance,324,2023-11-08 0:00:00,2024-09-27 0:00:00,434656638,0,Rendah,0,Rendah,0
KTRK-100038,PT NetSol Corp,Pembelian,730,2023-06-29 0:00:00,2025-06-28 0:00:00,161629121,1,Rendah,0,Rendah,0
KTRK-100039,PT Mitra Satu Internasional,Pembelian,511,2024-06-06 0:00:00,2025-10-30 0:00:00,178948181,1,Rendah,0,Rendah,0
KTRK-100040,PT Koneksi Global Solusindo,Pembelian,371,2024-09-19 0:00:00,2025-09-25 0:00:00,271186455,1,Rendah,0,Rendah,0
KTRK-100041,PT Indoinovasi Systems,Pembelian,725,2024-06-14 0:00:00,2026-06-09 0:00:00,342546975,1,Rendah,0,Rendah,0
KTRK-100042,PT Digikarya Systems,Pembelian,546,2024-04-15 0:00:00,2025-10-13 0:00:00,115694594,1,Rendah,0,Rendah,0
KTRK-100043,PT Koneksi Global Corp,Pembelian,247,2024-03-26 0:00:00,2024-11-28 0:00:00,349441686,1,Rendah,0,Rendah,0
KTRK-100044,PT Sibernetika Group,Pengembangan,953,2024-06-27 0:00:00,2027-02-05 0:00:00,455898581,2,Rendah,0,Rendah,0
KTRK-100045,PT Sibernetika Solusindo,Maintenance,390,2024-08-03 0:00:00,2025-08-28 0:00:00,260893165,0,Sedang,1,Sedang,1
KTRK-100046,PT BitData Group,Pengembangan,244,2024-03-25 0:00:00,2024-11-24 0:00:00,125647549,2,Rendah,0,Rendah,0
KTRK-100047,PT Indoinovasi Internasional,Maintenance,645,2023-07-20 0:00:00,2025-04-25 0:00:00,137641511,0,Sedang,1,Sedang,1
KTRK-100048,PT Teknologi Nusantara Group,Pengembangan,1000,2023-05-10 0:00:00,2026-02-03 0:00:00,404401033,2,Rendah,0,Rendah,0
KTRK-100049,PT Mitra Satu Solusindo,Maintenance,740,2023-10-12 0:00:00,2025-10-21 0:00:00,518079540,0,Tinggi,2,Tinggi,2
KTRK-100050,PT Inovasi Digital Internasional,Maintenance,1009,2024-12-07 0:00:00,2027-09-12 0:00:00,504304610,0,Tinggi,2,Tinggi,2
KTRK-100051,PT Aksara Teknologi Group,Pembelian,668,2023-08-05 0:00:00,2025-06-03 0:00:00,693397467,1,Rendah,0,Rendah,0
KTRK-100052,PT Indoinovasi Tbk,Maintenance,221,2023-06-24 0:00:00,2024-01-31 0:00:00,795907628,0,Tinggi,2,Tinggi,2
KTRK-100053,PT Mitra Satu Systems,Pengembangan,689,2024-09-04 0:00:00,2026-07-25 0:00:00,894936877,2,Sedang,1,Sedang,1
KTRK-100054,PT Komputasi Utama Group,Pengembangan,769,2024-03-17 0:00:00,2026-04-25 0:00:00,951822973,2,Sedang,1,Sedang,1
KTRK-100055,PT Cakrawala Teknologi Internasional,Pembelian,606,2023-12-15 0:00:00,2025-08-12 0:00:00,769181651,1,Rendah,0,Rendah,0
KTRK-100056,PT Solusi Digital Systems,Pembelian,1056,2023-01-25 0:00:00,2025-12-16 0:00:00,961607067,1,Rendah,0,Rendah,0
KTRK-100057,PT Digikarya Corp,Maintenance,522,2023-09-23 0:00:00,2025-02-26 0:00:00,694285457,0,Tinggi,2,Tinggi,2
KTRK-100058,PT NetSol Internasional,Pembelian,259,2023-04-14 0:00:00,2023-12-29 0:00:00,638724578,1,Rendah,0,Rendah,0
KTRK-100059,PT Solusi Digital Systems,Pembelian,458,2023-02-19 0:00:00,2024-05-22 0:00:00,916603349,1,Rendah,0,Rendah,0
KTRK-100060,PT Mitra Satu Solusindo,Pembelian,752,2024-07-16 0:00:00,2026-08-07 0:00:00,718457105,1,Rendah,0,Rendah,0
KTRK-100061,PT Aksara Teknologi Internasional,Maintenance,652,2024-03-11 0:00:00,2025-12-23 0:00:00,813025949,0,Tinggi,2,Tinggi,2
KTRK-100062,PT BitData Tbk,Pengembangan,1004,2024-07-13 0:00:00,2027-04-13 0:00:00,870565737,2,Sedang,1,Sedang,1
KTRK-100063,PT Koneksi Global Solusindo,Pembelian,349,2023-06-19 0:00:00,2024-06-02 0:00:00,894957089,1,Tinggi,2,Tinggi,2
KTRK-100064,PT Inovasi Digital Group,Pengembangan,1069,2023-12-22 0:00:00,2026-11-25 0:00:00,1025370705,2,Tinggi,2,Tinggi,2
KTRK-100065,PT Inovasi Digital Tbk,Maintenance,1024,2024-12-17 0:00:00,2027-10-07 0:00:00,3696814469,0,Tinggi,2,Tinggi,2
KTRK-100066,PT Indoinovasi Group,Pembelian,1016,2023-01-12 0:00:00,2025-10-24 0:00:00,1630084044,1,Tinggi,2,Tinggi,2
KTRK-100067,PT BitData Solusindo,Pengembangan,858,2024-02-11 0:00:00,2026-06-18 0:00:00,3895424433,2,Sedang,1,Sedang,1
KTRK-100068,PT Digikarya Solusindo,Maintenance,203,2024-01-17 0:00:00,2024-08-07 0:00:00,1699930381,0,Rendah,0,Rendah,0
KTRK-100069,PT BitData Corp,Maintenance,610,2023-08-09 0:00:00,2025-04-10 0:00:00,3976380740,0,Tinggi,2,Tinggi,2
KTRK-100070,PT Mitra Satu Group,Pembelian,373,2024-09-10 0:00:00,2025-09-18 0:00:00,2901742040,1,Tinggi,2,Tinggi,2
KTRK-100071,PT Inovasi Digital Tbk,Pengembangan,394,2024-09-30 0:00:00,2025-10-29 0:00:00,2278695316,2,Tinggi,2,Tinggi,2
KTRK-100072,PT Mitra Satu Corp,Pengembangan,665,2024-11-12 0:00:00,2026-09-08 0:00:00,3482331623,2,Tinggi,2,Tinggi,2
KTRK-100073,PT Digikarya Corp,Pengembangan,194,2023-03-12 0:00:00,2023-09-22 0:00:00,2264843740,2,Rendah,0,Rendah,0
KTRK-100074,PT Komputasi Utama Systems,Maintenance,262,2024-03-14 0:00:00,2024-12-01 0:00:00,3255258558,0,Tinggi,2,Tinggi,2
KTRK-100075,PT Inovasi Digital Group,Maintenance,442,2024-06-29 0:00:00,2025-09-14 0:00:00,2377648551,0,Tinggi,2,Tinggi,2
KTRK-100076,PT Digikarya Corp,Maintenance,194,2024-11-03 0:00:00,2025-05-16 0:00:00,3771188260,0,Tinggi,2,Tinggi,2
KTRK-100077,PT Aksara Teknologi Group,Maintenance,965,2023-11-04 0:00:00,2026-06-26 0:00:00,2033603129,0,Tinggi,2,Tinggi,2
KTRK-100078,PT Mitra Satu Systems,Maintenance,796,2023-04-07 0:00:00,2025-06-11 0:00:00,4821795559,0,Tinggi,2,Tinggi,2
KTRK-100079,PT Koneksi Global Solusindo,Pembelian,911,2024-01-17 0:00:00,2026-07-16 0:00:00,2680151214,1,Tinggi,2,Tinggi,2
KTRK-100080,PT NetSol Solusindo,Pembelian,736,2023-11-09 0:00:00,2025-11-14 0:00:00,4137627384,1,Tinggi,2,Tinggi,2
KTRK-100081,PT Inovasi Digital Corp,Pengembangan,418,2024-04-08 0:00:00,2025-05-31 0:00:00,3632324622,2,Tinggi,2,Tinggi,2
KTRK-100082,PT Cakrawala Teknologi Tbk,Pengembangan,917,2023-02-16 0:00:00,2025-08-21 0:00:00,2577144980,2,Tinggi,2,Tinggi,2
KTRK-100083,PT Aksara Teknologi Solusindo,Maintenance,598,2023-08-07 0:00:00,2025-03-27 0:00:00,2919117389,0,Tinggi,2,Tinggi,2
KTRK-100084,PT Indoinovasi Group,Maintenance,671,2024-07-17 0:00:00,2026-05-19 0:00:00,3666678782,0,Tinggi,2,Tinggi,2
KTRK-100085,PT NetSol Corp,Pengembangan,586,2024-07-01 0:00:00,2026-02-07 0:00:00,3378368344,2,Rendah,0,Rendah,0
KTRK-100086,PT Koneksi Global Corp,Pengembangan,1039,2024-12-19 0:00:00,2027-10-24 0:00:00,3759960711,2,Tinggi,2,Tinggi,2
KTRK-100087,PT Komputasi Utama Solusindo,Pembelian,378,2024-04-04 0:00:00,2025-04-17 0:00:00,1016303595,1,Tinggi,2,Tinggi,2
KTRK-100088,PT Solusi Digital Solusindo,Maintenance,240,2023-07-08 0:00:00,2024-03-04 0:00:00,3116289032,0,Tinggi,2,Tinggi,2
KTRK-100089,PT Komputasi Utama Group,Pembelian,782,2024-12-15 0:00:00,2027-02-05 0:00:00,3711752392,1,Tinggi,2,Tinggi,2
KTRK-100090,PT Indoinovasi Tbk,Pengembangan,218,2023-08-04 0:00:00,2024-03-09 0:00:00,4148589258,2,Rendah,0,Rendah,0
KTRK-100091,PT Teknologi Nusantara Group,Pengembangan,787,2023-11-24 0:00:00,2026-01-19 0:00:00,1563546098,2,Tinggi,2,Tinggi,2
KTRK-100092,PT Koneksi Global Systems,Maintenance,202,2023-05-20 0:00:00,2023-12-08 0:00:00,2868125560,0,Tinggi,2,Tinggi,2
KTRK-100093,PT Teknologi Nusantara Solusindo,Pembelian,283,2023-12-11 0:00:00,2024-09-19 0:00:00,2349957473,1,Tinggi,2,Tinggi,2
KTRK-100094,PT Cakrawala Teknologi Tbk,Pembelian,367,2023-07-02 0:00:00,2024-07-03 0:00:00,1933602858,1,Tinggi,2,Tinggi,2
KTRK-100095,PT Cakrawala Teknologi Corp,Maintenance,968,2023-07-31 0:00:00,2026-03-25 0:00:00,1117247116,0,Tinggi,2,Tinggi,2
KTRK-100096,PT Koneksi Global Internasional,Maintenance,846,2024-02-22 0:00:00,2026-06-17 0:00:00,3298780948,0,Tinggi,2,Tinggi,2
KTRK-100097,PT Aksara Teknologi Internasional,Maintenance,793,2023-01-18 0:00:00,2025-03-21 0:00:00,2085217139,0,Rendah,0,Rendah,0
KTRK-100098,PT Cakrawala Teknologi Tbk,Pengembangan,794,2024-07-28 0:00:00,2026-09-30 0:00:00,2852566005,2,Tinggi,2,Tinggi,2
KTRK-100099,PT Sibernetika Corp,Pengembangan,967,2024-03-26 0:00:00,2026-11-18 0:00:00,3998465868,2,Tinggi,2,Tinggi,2
KTRK-100100,PT Indoinovasi Internasional,Maintenance,624,2024-02-27 0:00:00,2025-11-12 0:00:00,4754441157,0,Tinggi,2,Tinggi,2
KTRK-100101,PT Inovasi Digital Solusindo,Pengembangan,813,2024-08-29 0:00:00,2026-11-20 0:00:00,3615038817,2,Tinggi,2,Tinggi,2
KTRK-100102,PT NetSol Solusindo,Pembelian,272,2023-02-08 0:00:00,2023-11-07 0:00:00,1052260755,1,Tinggi,2,Tinggi,2
KTRK-100103,PT Inovasi Digital Tbk,Pembelian,923,2024-10-13 0:00:00,2027-04-24 0:00:00,4580334451,1,Sedang,1,Sedang,1
KTRK-100104,PT Digikarya Corp,Maintenance,966,2023-06-12 0:00:00,2026-02-02 0:00:00,2130537203,0,Tinggi,2,Tinggi,2
KTRK-100105,PT NetSol Solusindo,Pengembangan,610,2024-11-26 0:00:00,2026-07-29 0:00:00,1042910006,2,Tinggi,2,Tinggi,2
KTRK-100106,PT Komputasi Utama Corp,Maintenance,841,2023-09-03 0:00:00,2025-12-22 0:00:00,1475147836,0,Tinggi,2,Tinggi,2
KTRK-100107,PT Indoinovasi Group,Maintenance,782,2023-09-09 0:00:00,2025-10-30 0:00:00,1318721857,0,Tinggi,2,Tinggi,2
KTRK-100108,PT Inovasi Digital Tbk,Pembelian,954,2023-10-05 0:00:00,2026-05-16 0:00:00,1910576699,1,Tinggi,2,Tinggi,2
KTRK-100109,PT BitData Internasional,Pembelian,643,2023-01-25 0:00:00,2024-10-29 0:00:00,2263391875,1,Sedang,1,Sedang,1
KTRK-100110,PT Indoinovasi Systems,Maintenance,951,2023-07-05 0:00:00,2026-02-10 0:00:00,2705676200,0,Tinggi,2,Tinggi,2
KTRK-100111,PT BitData Systems,Pengembangan,275,2024-09-24 0:00:00,2025-06-26 0:00:00,1305767428,2,Tinggi,2,Tinggi,2
KTRK-100112,PT NetSol Internasional,Pembelian,769,2023-11-19 0:00:00,2025-12-27 0:00:00,3638299098,1,Tinggi,2,Tinggi,2
KTRK-100113,PT Komputasi Utama Corp,Pengembangan,1039,2024-12-12 0:00:00,2027-10-17 0:00:00,3304237723,2,Tinggi,2,Tinggi,2
KTRK-100114,PT NetSol Solusindo,Pengembangan,1072,2024-10-30 0:00:00,2027-10-07 0:00:00,1310503702,2,Sedang,1,Sedang,1
KTRK-100115,PT Inovasi Digital Internasional,Pembelian,333,2023-11-09 0:00:00,2024-10-07 0:00:00,3249265186,1,Tinggi,2,Tinggi,2
KTRK-100116,PT NetSol Corp,Maintenance,905,2023-08-12 0:00:00,2026-02-02 0:00:00,1352608335,0,Tinggi,2,Tinggi,2
KTRK-100117,PT BitData Solusindo,Pengembangan,607,2023-11-28 0:00:00,2025-07-27 0:00:00,2831288591,2,Tinggi,2,Tinggi,2
KTRK-100118,PT Sibernetika Systems,Pengembangan,672,2024-04-28 0:00:00,2026-03-01 0:00:00,3520490750,2,Tinggi,2,Tinggi,2
KTRK-100119,PT NetSol Tbk,Pembelian,373,2023-11-29 0:00:00,2024-12-06 0:00:00,3411356842,1,Tinggi,2,Tinggi,2
KTRK-100120,PT Digikarya Group,Maintenance,238,2023-03-21 0:00:00,2023-11-14 0:00:00,1224161083,0,Tinggi,2,Tinggi,2
KTRK-100121,PT Indoinovasi Corp,Maintenance,871,2023-08-11 0:00:00,2025-12-29 0:00:00,2409730316,0,Tinggi,2,Tinggi,2
KTRK-100122,PT Komputasi Utama Group,Maintenance,788,2023-06-19 0:00:00,2025-08-15 0:00:00,3705868969,0,Tinggi,2,Tinggi,2
KTRK-100123,PT Komputasi Utama Systems,Pembelian,1005,2023-06-30 0:00:00,2026-03-31 0:00:00,4493043526,1,Tinggi,2,Tinggi,2
KTRK-100124,PT NetSol Systems,Maintenance,333,2024-09-10 0:00:00,2025-08-09 0:00:00,2231079290,0,Rendah,0,Rendah,0
KTRK-100125,PT Digikarya Internasional,Pembelian,636,2024-06-17 0:00:00,2026-03-15 0:00:00,1591639712,1,Tinggi,2,Tinggi,2
KTRK-100126,PT BitData Group,Pembelian,445,2024-06-17 0:00:00,2025-09-05 0:00:00,3092355269,1,Tinggi,2,Tinggi,2
KTRK-100127,PT Mitra Satu Corp,Pengembangan,951,2023-07-28 0:00:00,2026-03-05 0:00:00,3455360110,2,Tinggi,2,Tinggi,2
KTRK-100128,PT Koneksi Global Group,Pengembangan,994,2023-09-04 0:00:00,2026-05-25 0:00:00,2229269958,2,Tinggi,2,Tinggi,2
KTRK-100129,PT Cakrawala Teknologi Corp,Pembelian,238,2024-01-09 0:00:00,2024-09-03 0:00:00,2388579575,1,Tinggi,2,Tinggi,2
KTRK-100130,PT Digikarya Solusindo,Pengembangan,558,2024-08-22 0:00:00,2026-03-03 0:00:00,3511198982,2,Tinggi,2,Tinggi,2
KTRK-100131,PT Koneksi Global Tbk,Pengembangan,903,2023-11-30 0:00:00,2026-05-21 0:00:00,1642907775,2,Tinggi,2,Tinggi,2
KTRK-100132,PT Komputasi Utama Internasional,Pembelian,464,2024-02-13 0:00:00,2025-05-22 0:00:00,1981032098,1,Tinggi,2,Tinggi,2
KTRK-100133,PT Koneksi Global Group,Maintenance,237,2024-11-29 0:00:00,2025-07-24 0:00:00,1748613630,0,Rendah,0,Rendah,0
KTRK-100134,PT Mitra Satu Group,Pembelian,746,2024-08-09 0:00:00,2026-08-25 0:00:00,2726104007,1,Tinggi,2,Tinggi,2
KTRK-100135,PT Komputasi Utama Solusindo,Pembelian,290,2024-09-17 0:00:00,2025-07-04 0:00:00,4198912765,1,Tinggi,2,Tinggi,2
KTRK-100136,PT Cakrawala Teknologi Solusindo,Maintenance,964,2023-04-09 0:00:00,2025-11-28 0:00:00,3565241161,0,Sedang,1,Sedang,1
KTRK-100137,PT Digikarya Systems,Pengembangan,505,2024-12-28 0:00:00,2026-05-17 0:00:00,2726878150,2,Tinggi,2,Tinggi,2
KTRK-100138,PT NetSol Internasional,Pembelian,634,2023-02-14 0:00:00,2024-11-09 0:00:00,4398370308,1,Tinggi,2,Tinggi,2
KTRK-100139,PT Cakrawala Teknologi Systems,Pembelian,339,2023-03-18 0:00:00,2024-02-20 0:00:00,2184749385,1,Tinggi,2,Tinggi,2
KTRK-100140,PT Digikarya Corp,Pengembangan,344,2023-01-12 0:00:00,2023-12-22 0:00:00,1561780326,2,Tinggi,2,Tinggi,2
KTRK-100141,PT Komputasi Utama Internasional,Pembelian,279,2024-10-11 0:00:00,2025-07-17 0:00:00,4166905098,1,Sedang,1,Sedang,1
KTRK-100142,PT Aksara Teknologi Systems,Pembelian,681,2023-10-13 0:00:00,2025-08-24 0:00:00,2675570845,1,Tinggi,2,Tinggi,2
KTRK-100143,PT NetSol Group,Maintenance,796,2023-07-07 0:00:00,2025-09-10 0:00:00,1019961460,0,Tinggi,2,Tinggi,2
KTRK-100144,PT NetSol Corp,Pengembangan,564,2024-05-10 0:00:00,2025-11-25 0:00:00,2939375814,2,Tinggi,2,Tinggi,2
KTRK-100145,PT Komputasi Utama Solusindo,Pembelian,832,2023-03-14 0:00:00,2025-06-23 0:00:00,3439749749,1,Tinggi,2,Tinggi,2
KTRK-100146,PT Mitra Satu Tbk,Maintenance,228,2024-02-12 0:00:00,2024-09-27 0:00:00,2993148821,0,Tinggi,2,Tinggi,2
KTRK-100147,PT Komputasi Utama Corp,Pengembangan,272,2024-12-10 0:00:00,2025-09-08 0:00:00,2217453835,2,Tinggi,2,Tinggi,2
KTRK-100148,PT Digikarya Group,Pengembangan,492,2024-11-07 0:00:00,2026-03-14 0:00:00,1843763334,2,Tinggi,2,Tinggi,2
KTRK-100149,PT Digikarya Solusindo,Maintenance,462,2023-12-06 0:00:00,2025-03-12 0:00:00,4135027470,0,Tinggi,2,Tinggi,2
KTRK-100150,PT NetSol Internasional,Pengembangan,606,2024-01-17 0:00:00,2025-09-14 0:00:00,3715183473,2,Tinggi,2,Tinggi,2
KTRK-100151,PT Inovasi Digital Internasional,Maintenance,362,2023-08-28 0:00:00,2024-08-24 0:00:00,4404244201,0,Tinggi,2,Tinggi,2
KTRK-100152,PT NetSol Group,Pembelian,345,2023-07-31 0:00:00,2024-07-10 0:00:00,4894062597,1,Tinggi,2,Tinggi,2
KTRK-100153,PT Cakrawala Teknologi Corp,Pengembangan,488,2023-09-01 0:00:00,2025-01-01 0:00:00,1124580786,2,Tinggi,2,Tinggi,2
KTRK-100154,PT Solusi Digital Tbk,Pengembangan,604,2023-10-23 0:00:00,2025-06-18 0:00:00,4780110984,2,Tinggi,2,Tinggi,2
KTRK-100155,PT Cakrawala Teknologi Tbk,Maintenance,794,2024-05-10 0:00:00,2026-07-13 0:00:00,1065476097,0,Tinggi,2,Tinggi,2
KTRK-100156,PT Inovasi Digital Corp,Pengembangan,1054,2023-08-16 0:00:00,2026-07-05 0:00:00,1946121888,2,Tinggi,2,Tinggi,2
KTRK-100157,PT BitData Solusindo,Pengembangan,621,2023-10-30 0:00:00,2025-07-12 0:00:00,1762776457,2,Tinggi,2,Tinggi,2
KTRK-100158,PT Teknologi Nusantara Group,Pengembangan,402,2024-10-19 0:00:00,2025-11-25 0:00:00,2059129205,2,Rendah,0,Rendah,0
KTRK-100159,PT Indoinovasi Internasional,Maintenance,905,2024-10-06 0:00:00,2027-03-30 0:00:00,3852212473,0,Tinggi,2,Tinggi,2
KTRK-100160,PT Aksara Teknologi Corp,Maintenance,463,2023-11-08 0:00:00,2025-02-13 0:00:00,3954234916,0,Tinggi,2,Tinggi,2
KTRK-100161,PT Sibernetika Corp,Pengembangan,491,2024-04-16 0:00:00,2025-08-20 0:00:00,2121333676,2,Tinggi,2,Tinggi,2
KTRK-100162,PT Cakrawala Teknologi Corp,Maintenance,616,2024-12-26 0:00:00,2026-09-03 0:00:00,1211529574,0,Tinggi,2,Tinggi,2
KTRK-100163,PT Solusi Digital Solusindo,Pengembangan,538,2023-12-28 0:00:00,2025-06-18 0:00:00,3399867008,2,Tinggi,2,Tinggi,2
KTRK-100164,PT Mitra Satu Solusindo,Maintenance,326,2024-12-06 0:00:00,2025-10-28 0:00:00,1718787198,0,Tinggi,2,Tinggi,2
KTRK-100165,PT Solusi Digital Tbk,Maintenance,445,2023-10-10 0:00:00,2024-12-28 0:00:00,2669545621,0,Tinggi,2,Tinggi,2
KTRK-100166,PT Cakrawala Teknologi Group,Pembelian,525,2023-10-08 0:00:00,2025-03-16 0:00:00,2844917347,1,Tinggi,2,Tinggi,2
KTRK-100167,PT Koneksi Global Internasional,Pengembangan,281,2023-03-26 0:00:00,2024-01-01 0:00:00,2178317100,2,Tinggi,2,Tinggi,2
KTRK-100168,PT BitData Systems,Pengembangan,819,2023-12-28 0:00:00,2026-03-26 0:00:00,3547313453,2,Tinggi,2,Tinggi,2
KTRK-100169,PT Indoinovasi Internasional,Pengembangan,240,2024-02-24 0:00:00,2024-10-21 0:00:00,3162638806,2,Tinggi,2,Tinggi,2
KTRK-100170,PT Sibernetika Systems,Maintenance,545,2024-11-18 0:00:00,2026-05-17 0:00:00,2902412443,0,Tinggi,2,Tinggi,2
KTRK-100171,PT Digikarya Internasional,Pengembangan,214,2024-04-22 0:00:00,2024-11-22 0:00:00,1583620897,2,Sedang,1,Sedang,1
KTRK-100172,PT BitData Tbk,Pengembangan,541,2023-09-30 0:00:00,2025-03-24 0:00:00,2766839795,2,Tinggi,2,Tinggi,2
KTRK-100173,PT Indoinovasi Group,Maintenance,688,2024-06-19 0:00:00,2026-05-08 0:00:00,1526676916,0,Tinggi,2,Tinggi,2
KTRK-100174,PT Aksara Teknologi Systems,Pembelian,704,2024-11-19 0:00:00,2026-10-24 0:00:00,2606381503,1,Tinggi,2,Tinggi,2
KTRK-100175,PT Solusi Digital Solusindo,Pembelian,455,2023-02-09 0:00:00,2024-05-09 0:00:00,3590042826,1,Tinggi,2,Tinggi,2
KTRK-100176,PT Inovasi Digital Tbk,Pembelian,246,2024-09-20 0:00:00,2025-05-24 0:00:00,2946335244,1,Tinggi,2,Tinggi,2
