nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak
KTRK-100019,PT Teknologi Nusantara Corp,Pengembangan,838,2024-01-16,2026-05-03,"Rp417.623.994,00"
KTRK-100020,PT Indoinovasi Tbk,Pengembangan,1002,2024-08-25,2027-05-24,"Rp282.351.990,00"
KTRK-100021,PT Cakrawala Teknologi Group,Maintenance,767,2024-08-22,2026-09-28,"Rp184.691.221,00"
KTRK-100022,PT Koneksi Global Corp,Pengembangan,527,2024-05-30,2025-11-08,"Rp244.476.085,00"
KTRK-100023,PT BitData Corp,Maintenance,626,2024-04-12,2025-12-29,"Rp183.070.481,00"
KTRK-100024,PT Digikarya Corp,Pembelian,422,2023-09-10,2024-11-05,"Rp222.342.405,00"
KTRK-100025,PT Aksara Teknologi Group,Pembelian,290,2024-05-26,2025-03-12,"Rp232.550.866,00"
KTRK-100026,PT Digikarya Group,Pembelian,846,2023-03-02,2025-06-25,"Rp384.919.316,00"
KTRK-100027,PT Indoinovasi Corp,Pengembangan,1050,2023-10-03,2026-08-18,"Rp380.185.712,00"
KTRK-100028,PT Komputasi Utama Systems,Pengembangan,351,2023-10-01,2024-09-16,"Rp355.990.110,00"
KTRK-100029,PT Cakrawala Teknologi Corp,Pembelian,193,2023-03-25,2023-10-04,"Rp180.047.248,00"
KTRK-100030,PT BitData Corp,Pembelian,222,2024-04-23,2024-12-01,"Rp137.810.537,00"
KTRK-100031,PT Sibernetika Group,Maintenance,1077,2023-01-20,2026-01-01,"Rp164.620.615,00"
KTRK-100032,PT Mitra Satu Systems,Pembelian,830,2024-05-09,2026-08-17,"Rp211.549.394,00"
KTRK-100033,PT Cakrawala Teknologi Corp,Maintenance,945,2024-10-27,2027-05-30,"Rp402.800.699,00"
KTRK-100034,PT Solusi Digital Tbk,Pembelian,484,2023-01-18,2024-05-16,"Rp154.028.337,00"
KTRK-100035,PT Indoinovasi Systems,Pembelian,615,2024-05-30,2026-02-04,"Rp374.689.352,00"
KTRK-100036,PT Aksara Teknologi Group,Maintenance,497,2023-09-23,2025-02-01,"Rp280.361.025,00"
KTRK-100037,PT Sibernetika Systems,Maintenance,324,2023-11-08,2024-09-27,"Rp434.656.638,00"
KTRK-100038,PT NetSol Corp,Pembelian,730,2023-06-29,2025-06-28,"Rp161.629.121,00"
KTRK-100039,PT Mitra Satu Internasional,Pembelian,511,2024-06-06,2025-10-30,"Rp178.948.181,00"
KTRK-100040,PT Koneksi Global Solusindo,Pembelian,371,2024-09-19,2025-09-25,"Rp271.186.455,00"
KTRK-100041,PT Indoinovasi Systems,Pembelian,725,2024-06-14,2026-06-09,"Rp342.546.975,00"
KTRK-100042,PT Digikarya Systems,Pembelian,546,2024-04-15,2025-10-13,"Rp115.694.594,00"
KTRK-100043,PT Koneksi Global Corp,Pembelian,247,2024-03-26,2024-11-28,"Rp349.441.686,00"
KTRK-100044,PT Sibernetika Group,Pengembangan,953,2024-06-27,2027-02-05,"Rp455.898.581,00"
KTRK-100045,PT Sibernetika Solusindo,Maintenance,390,2024-08-03,2025-08-28,"Rp260.893.165,00"
KTRK-100046,PT BitData Group,Pengembangan,244,2024-03-25,2024-11-24,"Rp125.647.549,00"
KTRK-100047,PT Indoinovasi Internasional,Maintenance,645,2023-07-20,2025-04-25,"Rp137.641.511,00"
KTRK-100048,PT Teknologi Nusantara Group,Pengembangan,1000,2023-05-10,2026-02-03,"Rp404.401.033,00"
KTRK-100049,PT Mitra Satu Solusindo,Maintenance,740,2023-10-12,2025-10-21,"Rp518.079.540,00"
KTRK-100050,PT Inovasi Digital Internasional,Maintenance,1009,2024-12-07,2027-09-12,"Rp504.304.610,00"
KTRK-100051,PT Aksara Teknologi Group,Pembelian,668,2023-08-05,2025-06-03,"Rp693.397.467,00"
KTRK-100052,PT Indoinovasi Tbk,Maintenance,221,2023-06-24,2024-01-31,"Rp795.907.628,00"
KTRK-100053,PT Mitra Satu Systems,Pengembangan,689,2024-09-04,2026-07-25,"Rp894.936.877,00"
KTRK-100054,PT Komputasi Utama Group,Pengembangan,769,2024-03-17,2026-04-25,"Rp951.822.973,00"
KTRK-100055,PT Cakrawala Teknologi Internasional,Pembelian,606,2023-12-15,2025-08-12,"Rp769.181.651,00"
KTRK-100056,PT Solusi Digital Systems,Pembelian,1056,2023-01-25,2025-12-16,"Rp961.607.067,00"
KTRK-100057,PT Digikarya Corp,Maintenance,522,2023-09-23,2025-02-26,"Rp694.285.457,00"
KTRK-100058,PT NetSol Internasional,Pembelian,259,2023-04-14,2023-12-29,"Rp638.724.578,00"
KTRK-100059,PT Solusi Digital Systems,Pembelian,458,2023-02-19,2024-05-22,"Rp916.603.349,00"
KTRK-100060,PT Mitra Satu Solusindo,Pembelian,752,2024-07-16,2026-08-07,"Rp718.457.105,00"
KTRK-100061,PT Aksara Teknologi Internasional,Maintenance,652,2024-03-11,2025-12-23,"Rp813.025.949,00"
KTRK-100062,PT BitData Tbk,Pengembangan,1004,2024-07-13,2027-04-13,"Rp870.565.737,00"
KTRK-100063,PT Koneksi Global Solusindo,Pembelian,349,2023-06-19,2024-06-02,"Rp894.957.089,00"
KTRK-100064,PT Inovasi Digital Group,Pengembangan,1069,2023-12-22,2026-11-25,"Rp1.025.370.705,00"
KTRK-100065,PT Inovasi Digital Tbk,Maintenance,1024,2024-12-17,2027-10-07,"Rp3.696.814.469,00"
KTRK-100066,PT Indoinovasi Group,Pembelian,1016,2023-01-12,2025-10-24,"Rp1.630.084.044,00"
KTRK-100067,PT BitData Solusindo,Pengembangan,858,2024-02-11,2026-06-18,"Rp3.895.424.433,00"
KTRK-100068,PT Digikarya Solusindo,Maintenance,203,2024-01-17,2024-08-07,"Rp1.699.930.381,00"
KTRK-100069,PT BitData Corp,Maintenance,610,2023-08-09,2025-04-10,"Rp3.976.380.740,00"
KTRK-100070,PT Mitra Satu Group,Pembelian,373,2024-09-10,2025-09-18,"Rp2.901.742.040,00"
KTRK-100071,PT Inovasi Digital Tbk,Pengembangan,394,2024-09-30,2025-10-29,"Rp2.278.695.316,00"
KTRK-100072,PT Mitra Satu Corp,Pengembangan,665,2024-11-12,2026-09-08,"Rp3.482.331.623,00"
KTRK-100073,PT Digikarya Corp,Pengembangan,194,2023-03-12,2023-09-22,"Rp2.264.843.740,00"
KTRK-100074,PT Komputasi Utama Systems,Maintenance,262,2024-03-14,2024-12-01,"Rp3.255.258.558,00"
KTRK-100075,PT Inovasi Digital Group,Maintenance,442,2024-06-29,2025-09-14,"Rp2.377.648.551,00"
KTRK-100076,PT Digikarya Corp,Maintenance,194,2024-11-03,2025-05-16,"Rp3.771.188.260,00"
KTRK-100077,PT Aksara Teknologi Group,Maintenance,965,2023-11-04,2026-06-26,"Rp2.033.603.129,00"
KTRK-100078,PT Mitra Satu Systems,Maintenance,796,2023-04-07,2025-06-11,"Rp4.821.795.559,00"
KTRK-100079,PT Koneksi Global Solusindo,Pembelian,911,2024-01-17,2026-07-16,"Rp2.680.151.214,00"
KTRK-100080,PT NetSol Solusindo,Pembelian,736,2023-11-09,2025-11-14,"Rp4.137.627.384,00"
KTRK-100081,PT Inovasi Digital Corp,Pengembangan,418,2024-04-08,2025-05-31,"Rp3.632.324.622,00"
KTRK-100082,PT Cakrawala Teknologi Tbk,Pengembangan,917,2023-02-16,2025-08-21,"Rp2.577.144.980,00"
KTRK-100083,PT Aksara Teknologi Solusindo,Maintenance,598,2023-08-07,2025-03-27,"Rp2.919.117.389,00"
KTRK-100084,PT Indoinovasi Group,Maintenance,671,2024-07-17,2026-05-19,"Rp3.666.678.782,00"
KTRK-100085,PT NetSol Corp,Pengembangan,586,2024-07-01,2026-02-07,"Rp3.378.368.344,00"
KTRK-100086,PT Koneksi Global Corp,Pengembangan,1039,2024-12-19,2027-10-24,"Rp3.759.960.711,00"
KTRK-100087,PT Komputasi Utama Solusindo,Pembelian,378,2024-04-04,2025-04-17,"Rp1.016.303.595,00"
KTRK-100088,PT Solusi Digital Solusindo,Maintenance,240,2023-07-08,2024-03-04,"Rp3.116.289.032,00"
KTRK-100089,PT Komputasi Utama Group,Pembelian,782,2024-12-15,2027-02-05,"Rp3.711.752.392,00"
KTRK-100090,PT Indoinovasi Tbk,Pengembangan,218,2023-08-04,2024-03-09,"Rp4.148.589.258,00"
KTRK-100091,PT Teknologi Nusantara Group,Pengembangan,787,2023-11-24,2026-01-19,"Rp1.563.546.098,00"
KTRK-100092,PT Koneksi Global Systems,Maintenance,202,2023-05-20,2023-12-08,"Rp2.868.125.560,00"
KTRK-100093,PT Teknologi Nusantara Solusindo,Pembelian,283,2023-12-11,2024-09-19,"Rp2.349.957.473,00"
KTRK-100094,PT Cakrawala Teknologi Tbk,Pembelian,367,2023-07-02,2024-07-03,"Rp1.933.602.858,00"
KTRK-100095,PT Cakrawala Teknologi Corp,Maintenance,968,2023-07-31,2026-03-25,"Rp1.117.247.116,00"
KTRK-100096,PT Koneksi Global Internasional,Maintenance,846,2024-02-22,2026-06-17,"Rp3.298.780.948,00"
KTRK-100097,PT Aksara Teknologi Internasional,Maintenance,793,2023-01-18,2025-03-21,"Rp2.085.217.139,00"
KTRK-100098,PT Cakrawala Teknologi Tbk,Pengembangan,794,2024-07-28,2026-09-30,"Rp2.852.566.005,00"
KTRK-100099,PT Sibernetika Corp,Pengembangan,967,2024-03-26,2026-11-18,"Rp3.998.465.868,00"
KTRK-100100,PT Indoinovasi Internasional,Maintenance,624,2024-02-27,2025-11-12,"Rp4.754.441.157,00"
KTRK-100101,PT Inovasi Digital Solusindo,Pengembangan,813,2024-08-29,2026-11-20,"Rp3.615.038.817,00"
KTRK-100102,PT NetSol Solusindo,Pembelian,272,2023-02-08,2023-11-07,"Rp1.052.260.755,00"
KTRK-100103,PT Inovasi Digital Tbk,Pembelian,923,2024-10-13,2027-04-24,"Rp4.580.334.451,00"
KTRK-100104,PT Digikarya Corp,Maintenance,966,2023-06-12,2026-02-02,"Rp2.130.537.203,00"
KTRK-100105,PT NetSol Solusindo,Pengembangan,610,2024-11-26,2026-07-29,"Rp1.042.910.006,00"
KTRK-100106,PT Komputasi Utama Corp,Maintenance,841,2023-09-03,2025-12-22,"Rp1.475.147.836,00"
KTRK-100107,PT Indoinovasi Group,Maintenance,782,2023-09-09,2025-10-30,"Rp1.318.721.857,00"
KTRK-100108,PT Inovasi Digital Tbk,Pembelian,954,2023-10-05,2026-05-16,"Rp1.910.576.699,00"
KTRK-100109,PT BitData Internasional,Pembelian,643,2023-01-25,2024-10-29,"Rp2.263.391.875,00"
KTRK-100110,PT Indoinovasi Systems,Maintenance,951,2023-07-05,2026-02-10,"Rp2.705.676.200,00"
KTRK-100111,PT BitData Systems,Pengembangan,275,2024-09-24,2025-06-26,"Rp1.305.767.428,00"
KTRK-100112,PT NetSol Internasional,Pembelian,769,2023-11-19,2025-12-27,"Rp3.638.299.098,00"
KTRK-100113,PT Komputasi Utama Corp,Pengembangan,1039,2024-12-12,2027-10-17,"Rp3.304.237.723,00"
KTRK-100114,PT NetSol Solusindo,Pengembangan,1072,2024-10-30,2027-10-07,"Rp1.310.503.702,00"
KTRK-100115,PT Inovasi Digital Internasional,Pembelian,333,2023-11-09,2024-10-07,"Rp3.249.265.186,00"
KTRK-100116,PT NetSol Corp,Maintenance,905,2023-08-12,2026-02-02,"Rp1.352.608.335,00"
KTRK-100117,PT BitData Solusindo,Pengembangan,607,2023-11-28,2025-07-27,"Rp2.831.288.591,00"
KTRK-100118,PT Sibernetika Systems,Pengembangan,672,2024-04-28,2026-03-01,"Rp3.520.490.750,00"
KTRK-100119,PT NetSol Tbk,Pembelian,373,2023-11-29,2024-12-06,"Rp3.411.356.842,00"
KTRK-100120,PT Digikarya Group,Maintenance,238,2023-03-21,2023-11-14,"Rp1.224.161.083,00"
KTRK-100121,PT Indoinovasi Corp,Maintenance,871,2023-08-11,2025-12-29,"Rp2.409.730.316,00"
KTRK-100122,PT Komputasi Utama Group,Maintenance,788,2023-06-19,2025-08-15,"Rp3.705.868.969,00"
KTRK-100123,PT Komputasi Utama Systems,Pembelian,1005,2023-06-30,2026-03-31,"Rp4.493.043.526,00"
KTRK-100124,PT NetSol Systems,Maintenance,333,2024-09-10,2025-08-09,"Rp2.231.079.290,00"
KTRK-100125,PT Digikarya Internasional,Pembelian,636,2024-06-17,2026-03-15,"Rp1.591.639.712,00"
KTRK-100126,PT BitData Group,Pembelian,445,2024-06-17,2025-09-05,"Rp3.092.355.269,00"
KTRK-100127,PT Mitra Satu Corp,Pengembangan,951,2023-07-28,2026-03-05,"Rp3.455.360.110,00"
KTRK-100128,PT Koneksi Global Group,Pengembangan,994,2023-09-04,2026-05-25,"Rp2.229.269.958,00"
KTRK-100129,PT Cakrawala Teknologi Corp,Pembelian,238,2024-01-09,2024-09-03,"Rp2.388.579.575,00"
KTRK-100130,PT Digikarya Solusindo,Pengembangan,558,2024-08-22,2026-03-03,"Rp3.511.198.982,00"
KTRK-100131,PT Koneksi Global Tbk,Pengembangan,903,2023-11-30,2026-05-21,"Rp1.642.907.775,00"
KTRK-100132,PT Komputasi Utama Internasional,Pembelian,464,2024-02-13,2025-05-22,"Rp1.981.032.098,00"
KTRK-100133,PT Koneksi Global Group,Maintenance,237,2024-11-29,2025-07-24,"Rp1.748.613.630,00"
KTRK-100134,PT Mitra Satu Group,Pembelian,746,2024-08-09,2026-08-25,"Rp2.726.104.007,00"
KTRK-100135,PT Komputasi Utama Solusindo,Pembelian,290,2024-09-17,2025-07-04,"Rp4.198.912.765,00"
KTRK-100136,PT Cakrawala Teknologi Solusindo,Maintenance,964,2023-04-09,2025-11-28,"Rp3.565.241.161,00"
KTRK-100137,PT Digikarya Systems,Pengembangan,505,2024-12-28,2026-05-17,"Rp2.726.878.150,00"
KTRK-100138,PT NetSol Internasional,Pembelian,634,2023-02-14,2024-11-09,"Rp4.398.370.308,00"
KTRK-100139,PT Cakrawala Teknologi Systems,Pembelian,339,2023-03-18,2024-02-20,"Rp2.184.749.385,00"
KTRK-100140,PT Digikarya Corp,Pengembangan,344,2023-01-12,2023-12-22,"Rp1.561.780.326,00"
KTRK-100141,PT Komputasi Utama Internasional,Pembelian,279,2024-10-11,2025-07-17,"Rp4.166.905.098,00"
KTRK-100142,PT Aksara Teknologi Systems,Pembelian,681,2023-10-13,2025-08-24,"Rp2.675.570.845,00"
KTRK-100143,PT NetSol Group,Maintenance,796,2023-07-07,2025-09-10,"Rp1.019.961.460,00"
KTRK-100144,PT NetSol Corp,Pengembangan,564,2024-05-10,2025-11-25,"Rp2.939.375.814,00"
KTRK-100145,PT Komputasi Utama Solusindo,Pembelian,832,2023-03-14,2025-06-23,"Rp3.439.749.749,00"
KTRK-100146,PT Mitra Satu Tbk,Maintenance,228,2024-02-12,2024-09-27,"Rp2.993.148.821,00"
KTRK-100147,PT Komputasi Utama Corp,Pengembangan,272,2024-12-10,2025-09-08,"Rp2.217.453.835,00"
KTRK-100148,PT Digikarya Group,Pengembangan,492,2024-11-07,2026-03-14,"Rp1.843.763.334,00"
KTRK-100149,PT Digikarya Solusindo,Maintenance,462,2023-12-06,2025-03-12,"Rp4.135.027.470,00"
KTRK-100150,PT NetSol Internasional,Pengembangan,606,2024-01-17,2025-09-14,"Rp3.715.183.473,00"
KTRK-100151,PT Inovasi Digital Internasional,Maintenance,362,2023-08-28,2024-08-24,"Rp4.404.244.201,00"
KTRK-100152,PT NetSol Group,Pembelian,345,2023-07-31,2024-07-10,"Rp4.894.062.597,00"
KTRK-100153,PT Cakrawala Teknologi Corp,Pengembangan,488,2023-09-01,2025-01-01,"Rp1.124.580.786,00"
KTRK-100154,PT Solusi Digital Tbk,Pengembangan,604,2023-10-23,2025-06-18,"Rp4.780.110.984,00"
KTRK-100155,PT Cakrawala Teknologi Tbk,Maintenance,794,2024-05-10,2026-07-13,"Rp1.065.476.097,00"
KTRK-100156,PT Inovasi Digital Corp,Pengembangan,1054,2023-08-16,2026-07-05,"Rp1.946.121.888,00"
KTRK-100157,PT BitData Solusindo,Pengembangan,621,2023-10-30,2025-07-12,"Rp1.762.776.457,00"
KTRK-100158,PT Teknologi Nusantara Group,Pengembangan,402,2024-10-19,2025-11-25,"Rp2.059.129.205,00"
KTRK-100159,PT Indoinovasi Internasional,Maintenance,905,2024-10-06,2027-03-30,"Rp3.852.212.473,00"
KTRK-100160,PT Aksara Teknologi Corp,Maintenance,463,2023-11-08,2025-02-13,"Rp3.954.234.916,00"
KTRK-100161,PT Sibernetika Corp,Pengembangan,491,2024-04-16,2025-08-20,"Rp2.121.333.676,00"
KTRK-100162,PT Cakrawala Teknologi Corp,Maintenance,616,2024-12-26,2026-09-03,"Rp1.211.529.574,00"
KTRK-100163,PT Solusi Digital Solusindo,Pengembangan,538,2023-12-28,2025-06-18,"Rp3.399.867.008,00"
KTRK-100164,PT Mitra Satu Solusindo,Maintenance,326,2024-12-06,2025-10-28,"Rp1.718.787.198,00"
KTRK-100165,PT Solusi Digital Tbk,Maintenance,445,2023-10-10,2024-12-28,"Rp2.669.545.621,00"
KTRK-100166,PT Cakrawala Teknologi Group,Pembelian,525,2023-10-08,2025-03-16,"Rp2.844.917.347,00"
KTRK-100167,PT Koneksi Global Internasional,Pengembangan,281,2023-03-26,2024-01-01,"Rp2.178.317.100,00"
KTRK-100168,PT BitData Systems,Pengembangan,819,2023-12-28,2026-03-26,"Rp3.547.313.453,00"
KTRK-100169,PT Indoinovasi Internasional,Pengembangan,240,2024-02-24,2024-10-21,"Rp3.162.638.806,00"
KTRK-100170,PT Sibernetika Systems,Maintenance,545,2024-11-18,2026-05-17,"Rp2.902.412.443,00"
KTRK-100171,PT Digikarya Internasional,Pengembangan,214,2024-04-22,2024-11-22,"Rp1.583.620.897,00"
KTRK-100172,PT BitData Tbk,Pengembangan,541,2023-09-30,2025-03-24,"Rp2.766.839.795,00"
KTRK-100173,PT Indoinovasi Group,Maintenance,688,2024-06-19,2026-05-08,"Rp1.526.676.916,00"
KTRK-100174,PT Aksara Teknologi Systems,Pembelian,704,2024-11-19,2026-10-24,"Rp2.606.381.503,00"
KTRK-100175,PT Solusi Digital Solusindo,Pembelian,455,2023-02-09,2024-05-09,"Rp3.590.042.826,00"
KTRK-100176,PT Inovasi Digital Tbk,Pembelian,246,2024-09-20,2025-05-24,"Rp2.946.335.244,00"
KTRK-100177,PT Inovasi Digital Tbk,Pembelian,827,2024-10-10,2027-01-15,"Rp3.934.850.520,00"
KTRK-100178,PT Teknologi Nusantara Corp,Pengembangan,492,2023-09-27,2025-01-31,"Rp4.319.575.661,00"
KTRK-100179,PT Aksara Teknologi Solusindo,Pengembangan,638,2024-12-19,2026-09-18,"Rp4.785.163.645,00"
KTRK-100180,PT Komputasi Utama Group,Pembelian,205,2023-12-23,2024-07-15,"Rp2.362.272.937,00"
KTRK-100181,PT Cakrawala Teknologi Corp,Pembelian,477,2024-02-09,2025-05-31,"Rp3.501.772.161,00"
KTRK-100182,PT Cakrawala Teknologi Internasional,Maintenance,858,2024-08-09,2026-12-15,"Rp3.969.548.838,00"
KTRK-100183,PT Koneksi Global Systems,Pembelian,417,2023-05-30,2024-07-20,"Rp3.619.546.558,00"
KTRK-100184,PT Koneksi Global Tbk,Pembelian,245,2023-03-31,2023-12-01,"Rp2.347.139.197,00"
KTRK-100185,PT Teknologi Nusantara Tbk,Pembelian,1085,2024-04-08,2027-03-29,"Rp2.122.064.581,00"
KTRK-100186,PT Digikarya Internasional,Pengembangan,956,2024-01-06,2026-08-19,"Rp2.679.837.478,00"
KTRK-100187,PT Cakrawala Teknologi Internasional,Pengembangan,1044,2023-09-08,2026-07-18,"Rp3.726.820.935,00"
KTRK-100188,PT Sibernetika Group,Pembelian,1039,2024-01-23,2026-11-27,"Rp4.116.787.448,00"
KTRK-100189,PT Koneksi Global Corp,Pembelian,290,2023-10-10,2024-07-26,"Rp2.743.014.350,00"
KTRK-100190,PT BitData Corp,Maintenance,827,2024-08-10,2026-11-15,"Rp3.251.704.828,00"
KTRK-100191,PT Teknologi Nusantara Group,Maintenance,474,2023-05-08,2024-08-24,"Rp4.939.764.472,00"
KTRK-100192,PT Indoinovasi Systems,Pembelian,326,2023-09-21,2024-08-12,"Rp4.533.358.410,00"
KTRK-100193,PT NetSol Tbk,Pengembangan,540,2024-06-08,2025-11-30,"Rp2.106.027.394,00"
KTRK-100194,PT Solusi Digital Solusindo,Maintenance,1028,2024-05-11,2027-03-05,"Rp1.612.889.840,00"
KTRK-100195,PT Teknologi Nusantara Systems,Pengembangan,963,2023-12-14,2026-08-03,"Rp4.008.793.383,00"
KTRK-100196,PT BitData Solusindo,Pengembangan,993,2024-01-28,2026-10-17,"Rp4.055.510.781,00"
KTRK-100197,PT Inovasi Digital Tbk,Maintenance,862,2023-08-09,2025-12-18,"Rp1.422.187.234,00"
KTRK-100198,PT Inovasi Digital Tbk,Pengembangan,556,2023-03-11,2024-09-17,"Rp1.194.049.505,00"
KTRK-100199,PT Aksara Teknologi Solusindo,Pembelian,412,2024-03-17,2025-05-03,"Rp2.035.972.507,00"
KTRK-100200,PT Solusi Digital Group,Maintenance,641,2023-11-05,2025-08-07,"Rp3.687.320.835,00"
KTRK-100201,PT Koneksi Global Systems,Pengembangan,845,2023-06-08,2025-09-30,"Rp3.980.400.664,00"
KTRK-100202,PT BitData Solusindo,Pengembangan,564,2023-05-13,2024-11-27,"Rp3.550.838.214,00"
KTRK-100203,PT Aksara Teknologi Internasional,Pengembangan,372,2024-11-30,2025-12-07,"Rp1.607.169.893,00"
KTRK-100204,PT Inovasi Digital Systems,Pembelian,669,2023-08-30,2025-06-29,"Rp3.106.134.705,00"
KTRK-100205,PT Sibernetika Corp,Pengembangan,969,2024-12-31,2027-08-27,"Rp1.631.169.777,00"
KTRK-100206,PT BitData Tbk,Pembelian,981,2024-10-07,2027-06-15,"Rp4.590.605.959,00"
KTRK-100207,PT NetSol Tbk,Pengembangan,884,2024-03-05,2026-08-06,"Rp2.924.741.606,00"
KTRK-100208,PT Digikarya Solusindo,Maintenance,189,2023-08-11,2024-02-16,"Rp4.342.539.605,00"
KTRK-100209,PT Digikarya Tbk,Pembelian,461,2024-01-15,2025-04-20,"Rp4.260.383.671,00"
KTRK-100210,PT Sibernetika Corp,Pembelian,245,2023-10-18,2024-06-19,"Rp3.518.706.342,00"
KTRK-100211,PT BitData Internasional,Pembelian,519,2023-06-30,2024-11-30,"Rp3.408.525.004,00"
KTRK-100212,PT Aksara Teknologi Internasional,Pengembangan,903,2024-02-17,2026-08-08,"Rp3.455.136.590,00"
KTRK-100213,PT Indoinovasi Solusindo,Maintenance,212,2024-03-31,2024-10-29,"Rp3.166.813.440,00"
KTRK-100214,PT Solusi Digital Tbk,Pembelian,701,2024-10-04,2026-09-05,"Rp1.935.098.597,00"
KTRK-100215,PT Digikarya Internasional,Maintenance,1015,2024-05-05,2027-02-14,"Rp2.026.136.140,00"
KTRK-100216,PT Inovasi Digital Internasional,Pengembangan,336,2024-04-12,2025-03-14,"Rp1.075.788.366,00"
KTRK-100217,PT Solusi Digital Solusindo,Maintenance,874,2024-03-12,2026-08-03,"Rp2.401.843.146,00"
KTRK-100218,PT Mitra Satu Systems,Pembelian,1039,2024-12-17,2027-10-22,"Rp3.163.230.959,00"
KTRK-100219,PT Cakrawala Teknologi Tbk,Pembelian,667,2024-05-22,2026-03-20,"Rp2.823.966.455,00"
KTRK-100220,PT BitData Tbk,Maintenance,794,2023-04-07,2025-06-09,"Rp3.238.747.395,00"
KTRK-100221,PT Digikarya Group,Pengembangan,1060,2024-09-20,2027-08-16,"Rp3.826.320.537,00"
KTRK-100222,PT Mitra Satu Tbk,Maintenance,311,2024-03-14,2025-01-19,"Rp2.041.118.222,00"
KTRK-100223,PT Solusi Digital Solusindo,Pengembangan,788,2024-04-01,2026-05-29,"Rp2.891.654.146,00"
KTRK-100224,PT Indoinovasi Systems,Pengembangan,917,2024-09-20,2027-03-26,"Rp2.022.137.266,00"
KTRK-100225,PT Solusi Digital Group,Maintenance,1008,2024-03-01,2026-12-04,"Rp2.097.152.471,00"
KTRK-100226,PT Solusi Digital Solusindo,Maintenance,696,2024-11-30,2026-10-27,"Rp1.103.170.599,00"
KTRK-100227,PT Digikarya Corp,Pengembangan,202,2024-12-19,2025-07-09,"Rp4.615.994.900,00"
KTRK-100228,PT NetSol Systems,Pembelian,848,2023-05-12,2025-09-06,"Rp2.985.420.512,00"
KTRK-100229,PT Teknologi Nusantara Solusindo,Maintenance,477,2024-02-14,2025-06-05,"Rp3.284.421.526,00"
KTRK-100230,PT Mitra Satu Solusindo,Pengembangan,611,2023-11-08,2025-07-11,"Rp4.858.874.087,00"
KTRK-100231,PT Koneksi Global Internasional,Maintenance,256,2024-07-27,2025-04-09,"Rp1.844.930.775,00"
KTRK-100232,PT Inovasi Digital Systems,Pembelian,392,2023-08-25,2024-09-20,"Rp1.015.761.521,00"
KTRK-100233,PT Komputasi Utama Internasional,Pengembangan,402,2023-11-05,2024-12-11,"Rp1.010.774.631,00"
KTRK-100234,PT Indoinovasi Systems,Pembelian,1031,2024-12-18,2027-10-15,"Rp2.028.068.475,00"
KTRK-100235,PT NetSol Group,Maintenance,852,2024-03-25,2026-07-25,"Rp1.935.000.746,00"
KTRK-100236,PT Indoinovasi Group,Pengembangan,951,2023-04-06,2025-11-12,"Rp3.741.149.432,00"
KTRK-100237,PT NetSol Corp,Maintenance,520,2024-10-21,2026-03-25,"Rp4.421.528.681,00"
